"","from","to","weight","type"
"829",80,81,18,"sent"
"830",80,289,18,"sent"
"831",80,81,18,"sent"
"832",80,81,18,"sent"
"833",80,272,18,"sent"
"834",80,81,17,"sent"
"835",80,124,17,"sent"
"836",80,272,17,"sent"
"837",80,81,17,"sent"
"838",80,124,17,"sent"
"839",80,316,17,"sent"
"840",80,124,18,"sent"
"841",80,272,18,"sent"
"842",80,124,18,"sent"
"843",80,272,18,"sent"
"844",80,81,18,"sent"
"845",80,32,14,"sent"
"846",80,90,19,"sent"
"847",80,317,17,"sent"
"848",80,87,17,"sent"
"849",80,318,17,"sent"
"850",80,170,19,"sent"
"851",80,170,19,"sent"
"852",80,170,18,"sent"
"853",80,170,17,"sent"
"854",80,87,17,"sent"
"855",80,170,16,"sent"
"856",80,292,16,"sent"
"857",80,87,16,"sent"
"858",80,170,17,"sent"
"859",80,87,17,"sent"
"860",80,170,18,"sent"
"861",80,170,17,"sent"
"862",80,87,17,"sent"
"863",80,170,17,"sent"
"864",80,87,17,"sent"
"865",80,32,17,"sent"
"866",80,256,17,"sent"
"867",80,122,19,"sent"
"868",80,81,19,"sent"
"869",80,81,19,"sent"
"870",80,81,16,"sent"
"871",80,124,16,"sent"
"872",80,272,16,"sent"
"873",80,319,16,"sent"
"874",80,32,16,"sent"
"875",80,170,19,"sent"
"876",80,81,19,"sent"
"877",80,170,17,"sent"
"878",80,81,17,"sent"
"879",80,124,17,"sent"
"880",80,272,17,"sent"
"881",80,81,19,"sent"
"882",80,81,17,"sent"
"883",80,124,17,"sent"
"884",80,272,17,"sent"
"885",80,87,18,"sent"
"886",80,124,18,"sent"
"887",80,272,18,"sent"
"888",80,9,18,"sent"
"889",80,320,18,"sent"
"890",80,32,18,"sent"
"891",80,116,19,"sent"
"892",80,81,19,"sent"
"893",80,81,17,"sent"
"894",80,124,17,"sent"
"895",80,272,17,"sent"
"896",80,81,19,"sent"
"897",80,32,18,"sent"
"898",80,321,18,"sent"
"899",80,81,17,"sent"
"900",80,170,17,"sent"
"901",80,322,17,"sent"
"902",80,81,19,"sent"
"903",80,81,19,"sent"
"904",80,81,19,"sent"
"905",80,81,18,"sent"
"906",80,276,18,"sent"
"907",80,81,18,"sent"
"908",80,288,18,"sent"
"909",80,81,18,"sent"
"910",80,276,18,"sent"
"911",80,81,19,"sent"
"912",80,81,19,"sent"
"913",80,81,17,"sent"
"914",80,124,17,"sent"
"915",80,272,17,"sent"
"916",80,124,18,"sent"
"917",80,272,18,"sent"
"918",80,32,17,"sent"
"919",80,256,17,"sent"
"920",80,32,18,"sent"
"921",80,256,18,"sent"
"922",80,32,19,"sent"
"923",80,32,18,"sent"
"924",80,256,18,"sent"
"925",80,273,17,"sent"
"926",80,116,17,"sent"
"927",80,116,17,"sent"
"928",80,323,17,"sent"
"929",80,81,17,"sent"
"930",80,81,17,"sent"
"931",80,272,17,"sent"
"932",80,124,17,"sent"
"933",80,305,17,"sent"
"934",80,124,18,"sent"
"935",80,316,18,"sent"
"936",80,324,18,"sent"
"937",80,124,18,"sent"
"938",80,124,18,"sent"
"939",80,316,18,"sent"
"940",80,143,18,"sent"
"941",80,81,19,"sent"
"942",80,81,18,"sent"
"943",80,116,18,"sent"
"944",80,325,18,"sent"
"945",80,81,18,"sent"
"946",80,32,18,"sent"
"947",80,153,19,"sent"
"948",80,116,18,"sent"
"949",80,81,17,"sent"
"950",80,124,17,"sent"
"951",80,272,17,"sent"
"952",80,32,13,"sent"
"953",80,81,17,"sent"
"954",80,124,17,"sent"
"955",80,272,17,"sent"
"956",80,143,19,"sent"
"957",80,81,19,"sent"
"958",80,81,18,"sent"
"959",80,116,18,"sent"
"960",80,116,19,"sent"
"961",80,81,17,"sent"
"962",80,116,17,"sent"
"963",80,326,17,"sent"
"964",80,327,18,"sent"
"965",80,116,18,"sent"
"966",80,32,18,"sent"
"967",80,116,19,"sent"
"968",80,81,18,"sent"
"969",80,276,18,"sent"
"970",80,116,19,"sent"
"971",80,116,19,"sent"
"972",80,328,18,"sent"
"973",80,116,18,"sent"
"974",80,329,18,"sent"
"975",80,116,18,"sent"
"976",80,116,19,"sent"
"977",80,116,19,"sent"
"978",80,77,18,"sent"
"979",80,116,18,"sent"
"980",80,32,17,"sent"
"981",80,87,17,"sent"
"982",80,32,19,"sent"
"983",80,116,17,"sent"
"984",80,330,17,"sent"
"985",80,116,19,"sent"
"986",80,116,19,"sent"
"987",80,143,19,"sent"
"988",80,81,19,"sent"
"989",80,32,18,"sent"
"990",80,87,18,"sent"
"991",80,32,19,"sent"
"992",80,81,19,"sent"
"993",80,81,19,"sent"
"994",80,81,19,"sent"
"995",80,81,18,"sent"
"996",80,81,18,"sent"
"997",80,87,19,"sent"
"998",80,81,18,"sent"
"999",80,81,18,"sent"
"1000",80,32,16,"sent"
"1001",80,256,16,"sent"
"1002",80,87,19,"sent"
"1003",80,32,17,"sent"
"1004",80,331,17,"sent"
"1005",80,81,17,"sent"
"1006",80,81,19,"sent"
"1007",80,32,18,"sent"
"1008",80,332,18,"sent"
"1009",80,86,18,"sent"
"1010",80,81,17,"sent"
